cond,arm,n,runs,engaged_pct,delay_s_per_run,ref_engaged,engage_agree_recorded_pct,recorded_delay_s_per_run,pos_median_ms,not_engaged_pct,engaged_when_ref_did_not,excess_s,shortfall_s,backlog_err_median_ms,backlog_cover_pct,reserve_median_ms,reserve_pctile_vs_realized,stages_without_history
12MP,st_max5+ovh@exec,2947,116,36.40990838140482,4.963387931034483,465,93.55276552426196,3.799241379310345,486.0,2.150537634408602,618,461.684,5.23,205.0,87.37699355276553,859.0,87.37699355276553,0.0
12MP,st_max10,2947,116,51.306413301662715,9.306448275862069,465,80.82796063793688,3.799241379310345,598.0,3.010752688172043,1061,966.674,6.425,364.0,88.56464200882253,1050.0,87.98778418730913,0.0
12MP,st_max10+ovh,2947,116,55.07295554801493,11.771818965517241,465,78.48659653885306,3.799241379310345,731.0,2.150537634408602,1168,1249.328,3.096,566.0,92.97590770274856,1102.0,91.14353579911774,0.0
12MP,st_max10@exec,2947,116,35.29012555140822,5.27096551724138,465,93.58669833729216,3.799241379310345,524.0,3.010752688172043,589,498.585,6.452,157.0,78.79199185612488,836.0,82.2870715982355,0.0
12MP,st_max10+ovh@exec,2947,116,38.47980997624703,6.954068965517242,465,92.90804207668816,3.799241379310345,664.5,2.150537634408602,679,690.469,3.096,301.0,91.51679674244994,889.0,90.63454360366474,0.0
24MP,current,3000,116,33.233333333333334,3.577189655172414,439,91.2,5.710741379310345,318.0,15.945330296127562,628,311.527,53.538,-78.0,42.699999999999996,1129.7926748760242,91.43333333333334,
24MP,dr_mean1,3000,116,22.866666666666667,2.856603448275862,439,78.9,5.710741379310345,351.0,23.462414578587698,350,227.528,53.127,-14.0,48.1,763.5,64.33333333333333,0.0
24MP,dr_mean3,3000,116,24.0,2.4307155172413797,439,79.16666666666666,5.710741379310345,299.5,21.184510250569478,374,180.81,55.812,53.999999999999545,55.50000000000001,784.3333333333334,71.03333333333333,0.0
24MP,dr_mean5,3000,116,26.8,2.580724137931034,439,81.3,5.710741379310345,303.0,17.084282460136674,441,197.44,55.023,153.39999999999986,63.800000000000004,813.1,76.1,0.0
24MP,dr_mean10,3000,116,31.533333333333335,3.022965517241379,439,82.1,5.710741379310345,290.0,16.173120728929383,581,246.672,52.857,315.0,75.66666666666667,863.1428571428571,83.93333333333334,0.0
24MP,dr_max3,3000,116,36.833333333333336,5.080681034482759,439,83.2,5.710741379310345,404.0,9.567198177676538,708,464.506,32.112,277.0,73.13333333333333,869.0,81.83333333333334,0.0
24MP,dr_max5,3000,116,48.1,8.101258620689656,439,81.26666666666667,5.710741379310345,521.0,4.100227790432802,1023,801.954,19.155,624.0,84.66666666666667,968.0,89.5,0.0
24MP,dr_max10,3000,116,65.13333333333333,16.00383620689655,439,71.5,5.710741379310345,814.5,1.8223234624145785,1526,1707.12,7.524,1251.0,94.06666666666666,1171.0,94.5,0.0
24MP,st_mean1,3000,116,38.86666666666667,7.810103448275862,439,62.83333333333333,5.710741379310345,569.0,34.16856492027335,877,822.211,73.204,414.5,63.6,1010.5,74.06666666666666,0.0
24MP,st_mean1+ovh,3000,116,45.43333333333333,9.639,439,65.13333333333333,5.710741379310345,622.0,21.867881548974943,1020,1012.723,51.564,553.0,71.06666666666666,1061.0,79.60000000000001,0.0
24MP,st_mean1@exec,3000,116,17.366666666666667,2.0861551724137932,439,74.13333333333333,5.710741379310345,315.0,37.12984054669704,245,160.952,75.923,-158.0,33.4,721.0,51.53333333333333,0.0
24MP,st_mean1+ovh@exec,3000,116,23.0,2.872741379310345,439,78.96666666666667,5.710741379310345,344.5,23.234624145785876,353,229.194,52.921,-16.0,48.16666666666667,763.0,64.26666666666667,0.0
24MP,st_mean3,3000,116,39.06666666666666,6.8265,439,64.5,5.710741379310345,469.5,30.751708428246015,868,713.678,78.769,457.16666666666663,68.8,1015.0,78.60000000000001,0.0
24MP,st_mean3+ovh,3000,116,46.1,8.648939655172414,439,66.13333333333333,5.710741379310345,505.0,19.81776765375854,1031,900.805,54.493,599.6666666666667,75.53333333333333,1064.0,83.63333333333334,0.0
24MP,st_mean3@exec,3000,116,17.96666666666667,1.608689655172414,439,74.8,5.710741379310345,254.0,33.712984054669704,248,111.463,81.82,-134.50000000000003,37.6,726.6666666666667,55.733333333333334,0.0
24MP,st_mean3+ovh@exec,3000,116,23.533333333333335,2.378336206896552,439,79.03333333333333,5.710741379310345,303.5,21.867881548974943,363,174.696,55.774,16.333333333333258,52.166666666666664,770.6666666666666,69.03333333333333,0.0
24MP,st_mean5,3000,116,40.96666666666667,6.8069827586206895,439,65.2,5.710741379310345,430.0,29.840546697038725,921,711.545,78.9,520.0999999999999,72.63333333333334,1026.1999999999998,81.23333333333333,0.0
24MP,st_mean5+ovh,3000,116,48.36666666666667,8.690612068965518,439,68.2,5.710741379310345,486.0,15.71753986332574,1082,904.947,53.783,652.25,79.46666666666667,1074.6999999999998,85.93333333333332,0.0
24MP,st_mean5@exec,3000,116,19.433333333333334,1.636060344827586,439,76.06666666666668,5.710741379310345,238.0,32.80182232346242,288,114.735,81.917,-95.0,40.93333333333333,737.6,57.93333333333334,0.0
24MP,st_mean5+ovh@exec,3000,116,25.666666666666664,2.468198275862069,439,80.83333333333333,5.710741379310345,304.0,17.767653758542142,410,184.38,55.016,60.5,56.00000000000001,777.9999999999999,71.03333333333333,0.0
24MP,st_mean10,3000,116,43.3,6.962698275862069,439,67.33333333333333,5.710741379310345,413.0,27.107061503416855,979,723.519,72.811,564.2,76.93333333333334,1036.0464285714286,84.26666666666667,0.0
24MP,st_mean10+ovh,3000,116,50.76666666666667,8.886672413793104,439,69.39999999999999,5.710741379310345,470.0,14.806378132118452,1152,924.83,50.825,705.875,83.63333333333334,1082.9,88.06666666666668,0.0
24MP,st_mean10@exec,3000,116,21.8,1.788008620689655,439,77.83333333333333,5.710741379310345,237.0,29.840546697038725,346,126.494,76.05,-51.277777777777544,44.9,747.5,60.633333333333326,0.0
24MP,st_mean10+ovh@exec,3000,116,27.800000000000004,2.678405172413793,439,82.03333333333333,5.710741379310345,300.0,17.53986332574032,475,206.179,52.333,100.0,59.9,788.6999999999999,72.36666666666667,0.0
24MP,st_max3,3000,116,57.099999999999994,13.683060344827584,439,68.13333333333334,5.710741379310345,686.0,9.79498861047836,1317,1463.316,33.046,925.0,84.93333333333334,1153.0,88.83333333333333,0.0
24MP,st_max3+ovh,3000,116,63.33333333333333,16.595043103448276,439,67.83333333333333,5.710741379310345,767.0,4.555808656036446,1481,1786.692,18.632,1094.0,90.93333333333334,1210.0,91.86666666666666,0.0
24MP,st_max3@exec,3000,116,33.13333333333333,4.611896551724138,439,83.89999999999999,5.710741379310345,421.5,11.389521640091116,605,412.29,34.275,163.5,63.43333333333333,830.0,74.43333333333332,0.0
24MP,st_max3+ovh@exec,3000,116,39.800000000000004,6.21926724137931,439,85.56666666666666,5.710741379310345,493.0,5.011389521640091,777,583.32,18.85,354.0,79.06666666666666,881.0,84.53333333333333,0.0
24MP,st_max5,3000,116,67.93333333333334,18.473732758620688,439,66.36666666666666,5.710741379310345,803.0,3.416856492027335,1614,2002.936,16.948,1273.0,92.16666666666666,1229.0,93.83333333333333,0.0
24MP,st_max5+ovh,3000,116,72.7,22.054241379310344,439,64.0,5.710741379310345,922.0,1.8223234624145785,1751,2410.357,9.012,1472.0,95.03333333333333,1282.0,95.3,0.0
24MP,st_max5@exec,3000,116,42.266666666666666,7.3614137931034485,439,84.63333333333334,5.710741379310345,562.5,4.555808656036446,849,714.467,17.508,380.5,76.1,893.0,83.0,0.0
24MP,st_max5+ovh@exec,3000,116,47.8,9.469301724137932,439,84.3,5.710741379310345,660.5,2.277904328018223,1006,950.614,9.122,600.0,88.0,950.0,90.4,0.0
24MP,st_max10,3000,116,76.0,26.246724137931032,439,63.1,5.710741379310345,1107.0,1.1389521640091116,1846,2892.604,4.949,1720.5,95.93333333333334,1310.0,96.3,0.0
24MP,st_max10+ovh,3000,116,79.03333333333333,30.4405,439,60.266666666666666,5.710741379310345,1271.0,0.9111617312072893,1939,3376.68,2.431,1958.0,97.03333333333333,1368.0,96.8,0.0
24MP,st_max10@exec,3000,116,49.8,12.243637931034483,439,85.03333333333333,5.710741379310345,827.5,1.8223234624145785,1063,1268.376,5.079,730.0,86.3,1012.0,90.3,0.0
24MP,st_max10+ovh@exec,3000,116,54.2,14.861094827586207,439,82.36666666666666,5.710741379310345,951.0,1.1389521640091116,1195,1569.552,2.514,978.0,93.63333333333334,1065.0,94.36666666666666,0.0
