backlog_pct,delay_pct
38.9429,4.4429
39.0286,2.0
39.0429,6.4714
39.0857,5.6714
39.1429,9.7857
39.5429,3.2286
39.7143,2.4714
39.8714,5.2857
39.8857,22.7714
40.0429,10.2857
40.2286,4.4571
40.2857,2.3714
40.3571,10.3286
40.8286,8.7857
40.9714,16.0714
41.0571,23.6
41.1,0.9
41.1286,4.1
41.2,12.0286
41.2429,2.0571
41.3143,2.2
41.4286,2.4714
41.5571,6.6571
41.5857,2.7571
41.7143,5.5571
41.7857,3.0429
42.0,11.6714
42.0143,5.1571
42.0857,3.0143
42.0857,6.5429
42.2,11.2429
42.2429,10.1429
42.2571,16.8714
42.2857,5.3571
42.4286,2.6429
42.7143,9.9429
42.7429,1.6429
42.8286,8.1857
42.9857,8.9143
43.0429,9.3143
43.2429,2.6571
43.2857,2.8429
43.3143,8.4857
43.4857,2.6
43.5143,12.0571
43.5857,6.4143
43.7286,11.4286
43.7857,5.6
43.8,3.5714
43.8571,13.3857
43.8857,9.6571
43.9286,2.3571
44.1571,1.9857
44.2,7.6143
44.2429,2.6571
44.3429,13.1
44.4143,1.6571
44.5714,18.7571
44.6,1.5286
44.7286,2.3286
44.7429,4.2
44.7857,4.3
44.8143,0.9
44.9286,8.1857
45.0857,2.1
45.1286,4.4286
45.1571,0.5
45.2,10.4429
45.5,2.2429
45.5714,12.3
45.5857,18.4429
45.6429,0.4714
45.6714,14.7
45.7286,2.5429
45.7714,2.6286
45.8,16.3714
45.8286,1.5143
45.8571,19.5571
45.9857,12.7
46.1857,17.9714
46.2,1.7
46.2,4.3286
46.2429,4.6714
46.2857,2.9286
46.3286,6.4714
46.4286,4.9
46.4571,9.4714
46.5571,2.1143
46.5857,1.9143
46.7286,1.9143
46.8143,11.7
46.8429,4.0714
46.9286,1.5286
47.0429,3.7286
47.0857,10.3571
47.2571,4.2
47.2714,8.2143
47.2857,5.0143
47.3286,0.0857
47.3286,17.2
47.3857,10.5143
47.4,12.8143
47.6714,2.2143
47.6857,11.1143
47.7,12.1857
47.7286,1.6571
47.8429,6.8143
47.8714,10.5429
47.9571,15.3429
48.0286,3.8429
48.0429,0.6143
48.1571,6.4429
48.1714,2.5429
48.2714,2.0571
48.7857,8.6571
48.9429,1.8857
48.9571,1.5857
49.0,3.6286
49.0143,3.0429
49.1,3.5714
49.3571,0.2
