backlog_error_pts,pressure_pct
-0.44,4.16
-1.91,8.2
-2.99,2.2
3.57,-66.94
7.41,-63.73
1.7,-61.34
-1.94,-59.71
0.59,-57.3
0.5,-55.1
0.14,-51.94
-0.46,-49.33
-0.73,-46.1
-1.01,-43.71
-0.49,-40.54
-0.56,-37.17
-0.66,-34.17
-0.86,-31.14
-1.39,-24.73
-3.24,-24.31
-3.41,-24.11
-3.2,-21.27
-3.41,-17.94
-3.26,-15.91
-3.21,-12.74
-2.87,-9.89
-2.16,-4.07
-3.46,-3.17
-0.91,-0.71
-0.87,2.21
-0.86,1.96
-0.74,-0.26
4.86,-61.51
-4.5,-58.53
-9.09,-51.47
-4.21,-44.56
-3.94,-35.67
-2.2,-28.31
-4.99,-25.11
-5.26,-19.19
-5.79,-11.97
-5.96,-7.61
-4.67,-3.5
-0.06,2.31
2.89,-0.44
7.24,-10.77
14.47,-20.93
21.54,-30.34
27.24,-39.99
32.33,-46.61
38.21,-54.73
27.61,-58.27
12.67,-60.91
5.0,-62.74
-1.89,-64.01
-2.2,-67.07
-0.27,-69.34
0.67,-71.61
4.17,-56.34
-0.43,-49.97
-2.3,-39.7
-3.87,-33.74
-4.01,-29.11
-2.69,-23.7
1.47,-18.1
3.46,-12.34
8.76,-5.53
9.34,2.14
7.1,-7.13
9.31,-13.49
11.09,-18.6
12.33,-21.19
14.5,-24.69
18.1,-24.9
13.2,-25.26
7.46,-29.04
6.2,-25.43
1.09,-23.51
-2.49,-22.03
-6.03,-22.27
-5.23,-24.11
-2.99,-23.71
-0.51,-23.39
1.96,-25.57
4.76,-24.34
5.69,-22.74
0.53,-54.1
0.16,-48.27
-0.27,-41.41
-0.66,-35.04
-2.04,-30.2
-0.56,-24.2
0.57,-17.26
1.54,-11.66
2.5,-4.33
2.7,2.27
4.86,-1.91
9.56,-5.81
12.41,-11.54
14.67,-17.73
18.41,-21.06
21.91,-24.71
13.89,-27.24
8.21,-33.69
4.11,-29.54
-1.87,-28.99
-2.4,-28.21
-5.64,-28.26
-3.71,-27.3
-2.84,-27.33
-0.6,-25.84
1.09,-25.41
4.34,-25.44
5.63,-24.66
3.01,-51.17
5.2,-46.46
0.6,-39.47
