condition,slot,class,queued_pricing_error_s,backlog_error_s
12mp_normal,1,no_delay_required,0.0314,-0.19
12mp_normal,1,no_delay_required,0.1299,-0.034
12mp_normal,1,no_delay_required,0.2573,0.078
12mp_normal,1,no_delay_required,0.3771,0.23
12mp_normal,1,no_delay_required,0.5514,0.473
12mp_normal,1,no_delay_required,0.222,-0.121
12mp_normal,1,no_delay_required,-0.1561,0.127
12mp_normal,1,no_delay_required,0.1204,-0.022
12mp_normal,1,no_delay_required,-0.0422,-0.025
12mp_normal,1,no_delay_required,-0.0471,-0.038
12mp_normal,1,no_delay_required,-0.0158,-0.019
12mp_normal,1,no_delay_required,-0.1298,-0.132
12mp_normal,1,no_delay_required,-0.1545,-0.164
12mp_normal,1,no_delay_required,-0.1713,-0.189
12mp_normal,1,no_delay_required,-0.0552,-0.042
12mp_normal,1,no_delay_required,0.0037,0.016
12mp_normal,1,no_delay_required,0.0265,0.03
12mp_normal,1,no_delay_required,0.0412,0.043
12mp_normal,1,no_delay_required,0.0656,0.038
12mp_normal,1,no_delay_required,0.0512,0.018
12mp_normal,1,no_delay_required,0.0529,0.008
12mp_normal,1,no_delay_required,-0.1203,-0.161
12mp_normal,1,no_delay_required,-0.1874,-0.242
12mp_normal,1,no_delay_required,-0.2704,-0.325
12mp_normal,1,no_delay_required,-0.2833,-0.352
12mp_normal,1,no_delay_required,-0.2838,-0.324
12mp_normal,1,no_delay_required,-0.2087,-0.255
12mp_normal,1,no_delay_required,-0.0093,-0.045
12mp_normal,1,no_delay_required,0.0506,0.007
12mp_normal,1,no_delay_required,0.1848,0.159
12mp_normal,1,no_delay_required,0.1617,0.144
12mp_normal,1,no_delay_required,0.476,0.09
12mp_normal,1,no_delay_required,0.1096,-0.121
12mp_normal,1,no_delay_required,-0.0882,0.048
12mp_normal,1,no_delay_required,0.0602,0.033
12mp_normal,1,no_delay_required,0.0723,0.029
12mp_normal,1,no_delay_required,0.0412,-0.013
12mp_normal,1,no_delay_required,-0.0025,-0.027
12mp_normal,1,no_delay_required,-0.0009,-0.029
12mp_normal,1,no_delay_required,-0.0107,-0.052
12mp_normal,1,no_delay_required,-0.0047,-0.044
12mp_normal,1,no_delay_required,-0.0006,-0.041
12mp_normal,1,no_delay_required,-0.0394,-0.077
12mp_normal,1,no_delay_required,-0.0486,-0.097
12mp_normal,1,no_delay_required,-0.0559,-0.101
12mp_normal,1,no_delay_required,-0.0857,-0.135
12mp_normal,1,no_delay_required,-0.1006,-0.16
12mp_normal,1,no_delay_required,-0.1837,-0.244
12mp_normal,1,no_delay_required,-0.2353,-0.285
12mp_normal,1,no_delay_required,-0.2154,-0.259
12mp_normal,1,no_delay_required,-0.1996,-0.252
12mp_normal,1,no_delay_required,-0.1636,-0.219
12mp_normal,1,no_delay_required,-0.1169,-0.171
12mp_normal,1,no_delay_required,-0.1384,-0.203
12mp_normal,1,no_delay_required,-0.248,-0.312
12mp_normal,1,no_delay_required,-0.3024,-0.359
12mp_normal,1,no_delay_required,-0.3981,-0.466
12mp_normal,1,no_delay_required,0.267,-0.02
12mp_normal,1,no_delay_required,-0.0711,0.02
12mp_normal,1,no_delay_required,-0.0077,0.074
12mp_normal,1,no_delay_required,0.0697,0.081
12mp_normal,1,no_delay_required,0.0293,-0.022
12mp_normal,1,no_delay_required,-0.0125,-0.075
12mp_normal,1,no_delay_required,-0.0067,-0.071
12mp_normal,1,no_delay_required,-0.0594,-0.059
12mp_normal,1,no_delay_required,-0.0393,-0.057
12mp_normal,1,no_delay_required,-0.0944,-0.111
12mp_normal,1,no_delay_required,-0.1004,-0.132
12mp_normal,1,no_delay_required,-0.0878,-0.132
12mp_normal,1,no_delay_required,-0.0505,-0.11
12mp_normal,1,no_delay_required,-0.0256,-0.09
12mp_normal,1,no_delay_required,0.0165,-0.06
12mp_normal,1,no_delay_required,0.1587,0.084
12mp_normal,1,no_delay_required,0.1638,0.071
12mp_normal,1,no_delay_required,0.0748,-0.006
12mp_normal,1,no_delay_required,0.1064,0.031
12mp_normal,1,no_delay_required,0.1577,0.071
12mp_normal,1,no_delay_required,0.1784,0.086
12mp_normal,1,no_delay_required,0.2003,0.098
12mp_normal,1,no_delay_required,0.257,0.147
12mp_normal,1,no_delay_required,0.3099,0.188
12mp_normal,1,no_delay_required,0.3717,0.255
12mp_normal,1,no_delay_required,0.4442,0.316
12mp_normal,1,no_delay_required,0.4506,0.331
12mp_normal,1,no_delay_required,0.253,0.041
12mp_normal,1,no_delay_required,0.0223,0.052
12mp_normal,1,no_delay_required,0.0587,0.065
12mp_normal,1,no_delay_required,-0.1387,-0.095
12mp_normal,1,no_delay_required,-0.4064,-0.384
12mp_normal,1,no_delay_required,-0.7145,-0.803
12mp_normal,1,no_delay_required,-0.767,-0.807
12mp_normal,1,no_delay_required,-0.9079,-0.984
12mp_normal,1,no_delay_required,-1.0038,-1.095
12mp_normal,1,no_delay_required,-0.833,-0.783
12mp_normal,1,no_delay_required,-0.7972,-0.778
12mp_normal,1,no_delay_required,-0.5327,-0.414
12mp_normal,1,no_delay_required,0.2407,0.278
12mp_normal,1,no_delay_required,0.6743,0.695
12mp_normal,1,no_delay_required,1.0271,0.945
12mp_normal,1,no_delay_required,1.3094,1.182
12mp_normal,1,no_delay_required,1.5725,1.447
12mp_normal,1,no_delay_required,1.7939,1.654
12mp_normal,1,no_delay_required,1.4312,1.002
12mp_normal,1,no_delay_required,1.4843,1.041
12mp_normal,1,no_delay_required,1.2377,0.831
12mp_normal,1,no_delay_required,1.0263,0.628
12mp_normal,1,no_delay_required,0.7848,0.385
12mp_normal,1,no_delay_required,0.5922,0.206
12mp_normal,1,no_delay_required,0.427,0.101
12mp_normal,1,no_delay_required,0.4088,0.044
12mp_normal,1,no_delay_required,0.2085,-0.066
12mp_normal,1,no_delay_required,0.2933,-0.01
12mp_normal,1,no_delay_required,0.2102,0.242
12mp_normal,1,no_delay_required,0.3118,0.322
12mp_normal,1,no_delay_required,0.4406,0.37
12mp_normal,1,no_delay_required,0.4579,0.341
12mp_normal,1,no_delay_required,0.2587,0.043
12mp_normal,1,no_delay_required,0.527,0.318
12mp_normal,1,no_delay_required,0.6939,0.547
12mp_normal,1,no_delay_required,1.015,0.843
12mp_normal,1,no_delay_required,1.231,1.068
12mp_normal,1,no_delay_required,1.4905,1.355
12mp_normal,1,no_delay_required,1.4443,0.986
12mp_normal,1,no_delay_required,1.06,0.607
12mp_normal,1,no_delay_required,1.0193,0.548
12mp_normal,1,no_delay_required,0.6556,0.189
12mp_normal,1,no_delay_required,0.3797,-0.071
12mp_normal,1,no_delay_required,0.0644,-0.39
12mp_normal,1,no_delay_required,0.0809,-0.392
12mp_normal,1,no_delay_required,-0.1517,-0.235
12mp_normal,1,no_delay_required,0.0507,-0.023
12mp_normal,1,no_delay_required,0.1886,0.121
12mp_normal,1,no_delay_required,0.3252,0.261
12mp_normal,1,no_delay_required,1.341,0.764
12mp_normal,1,no_delay_required,1.322,0.72
12mp_normal,1,no_delay_required,0.9761,0.448
12mp_normal,1,no_delay_required,-0.3465,-0.908
12mp_normal,1,no_delay_required,-0.2698,-0.339
12mp_normal,1,no_delay_required,0.3162,0.231
12mp_normal,1,no_delay_required,0.8886,0.739
12mp_normal,1,no_delay_required,1.3959,1.26
12mp_normal,1,no_delay_required,1.9028,1.74
12mp_normal,1,no_delay_required,2.7528,2.087
12mp_normal,1,no_delay_required,1.6463,1.01
12mp_normal,1,no_delay_required,1.0383,0.398
12mp_normal,1,no_delay_required,0.4783,-0.153
12mp_normal,1,no_delay_required,-0.0924,-0.152
12mp_normal,1,no_delay_required,-0.1578,-0.219
12mp_normal,1,no_delay_required,-0.0382,-0.071
12mp_normal,1,no_delay_required,-0.0336,-0.072
12mp_normal,1,no_delay_required,0.0141,-0.025
12mp_normal,1,no_delay_required,0.0096,-0.056
12mp_normal,1,no_delay_required,0.0493,-0.012
12mp_normal,1,no_delay_required,0.0537,-0.01
12mp_normal,1,no_delay_required,0.0043,-0.01
12mp_normal,1,no_delay_required,-0.0154,-0.018
12mp_normal,1,no_delay_required,0.0177,0.021
12mp_normal,1,no_delay_required,0.493,0.249
12mp_normal,1,no_delay_required,0.6172,0.359
12mp_normal,1,no_delay_required,0.5694,0.361
12mp_normal,1,no_delay_required,0.7714,0.541
12mp_normal,1,no_delay_required,0.7264,0.629
12mp_normal,1,no_delay_required,0.8936,0.772
12mp_normal,1,no_delay_required,0.6321,0.356
12mp_normal,1,no_delay_required,0.5908,0.351
12mp_normal,1,no_delay_required,0.9084,0.653
12mp_normal,1,no_delay_required,0.9478,0.712
12mp_normal,1,no_delay_required,1.149,0.984
12mp_normal,1,no_delay_required,1.4528,1.346
12mp_normal,1,no_delay_required,1.361,0.932
12mp_normal,1,no_delay_required,0.9712,0.54
12mp_normal,1,no_delay_required,0.694,0.268
12mp_normal,1,no_delay_required,0.6936,0.244
12mp_normal,1,no_delay_required,0.3709,-0.105
12mp_normal,1,no_delay_required,0.0012,-0.467
12mp_normal,1,no_delay_required,-0.3284,-0.442
12mp_normal,1,no_delay_required,-0.2552,-0.389
12mp_normal,1,no_delay_required,-0.1159,-0.214
12mp_normal,1,no_delay_required,0.0381,-0.061
12mp_normal,1,no_delay_required,0.1409,0.031
12mp_normal,1,no_delay_required,0.2142,0.09
12mp_normal,1,no_delay_required,0.3349,0.215
12mp_normal,1,no_delay_required,0.23,0.001
12mp_normal,1,no_delay_required,0.217,-0.029
12mp_normal,1,no_delay_required,0.004,0.001
