queued_pricing_error_s,backlog_error_s
-0.101,-0.133
-0.16,-0.244
-0.1561,-0.258
-0.0739,-0.19
0.0524,-0.043
0.0503,-0.065
0.1494,0.043
0.0404,-0.085
0.2096,0.109
0.3852,0.323
0.4719,0.407
0.5724,0.485
0.7788,0.679
0.8825,0.797
0.8713,0.769
0.291,-0.136
-0.1969,-0.067
-0.248,-0.127
-0.1062,-0.057
-0.0109,0.014
0.024,0.035
0.071,0.024
0.0736,0.052
0.1041,0.072
0.1659,0.109
0.1958,0.129
0.2027,0.145
0.1728,0.119
0.126,0.127
0.002,-0.102
-0.1215,-0.233
-0.352,-0.46
-0.516,-0.608
-0.5713,-0.677
-0.5777,-0.679
-0.4602,-0.485
-0.4512,-0.485
-0.2796,-0.28
-0.2742,-0.253
-0.4073,-0.404
-0.4618,-0.468
0.426,-0.269
-0.3263,-0.047
-0.0572,-0.125
-0.1415,-0.106
-0.0949,-0.087
-0.0979,-0.084
-0.1099,-0.09
0.032,0.046
0.1283,0.133
0.2482,0.241
0.2267,0.191
0.2321,0.19
0.1828,0.128
0.0818,0.017
-0.0488,-0.119
-0.1162,-0.169
-0.0322,-0.162
-0.0009,-0.039
0.071,0.066
0.1395,0.133
0.1291,0.116
-0.0357,-0.068
-0.0318,-0.09
-0.0397,-0.101
-0.024,-0.093
0.0231,-0.054
0.438,-0.359
0.1313,-0.686
-0.6194,-0.27
-0.2682,0.101
-0.1984,0.149
0.1501,0.051
0.0559,-0.053
-0.8248,-0.966
-1.523,-1.688
-1.655,-1.735
-1.5703,-1.59
-1.5507,-1.593
-0.9673,-0.873
-0.6544,-0.584
0.2466,0.447
0.6584,0.436
0.6847,0.53
0.7237,0.535
0.6522,0.111
0.3231,-0.315
-0.0079,-0.244
-0.0331,-0.3
-0.1145,-0.347
0.0453,0.023
0.3515,0.326
0.4417,0.397
0.608,0.226
0.3215,0.007
0.0384,0.061
0.0241,-0.111
-0.1571,-0.303
-0.281,-0.362
-0.3536,-0.309
-0.3464,-0.311
-0.2251,-0.108
-0.1094,-0.071
-0.0643,-0.082
-0.1638,-0.198
-0.2782,-0.322
-0.3197,-0.436
-0.3951,-0.447
-0.3642,-0.407
-0.4828,-0.539
-0.4011,-0.449
-0.2666,-0.292
-0.1718,-0.205
0.0304,-0.007
0.1896,0.151
0.276,0.215
0.2874,0.215
0.3643,0.302
0.3765,0.304
0.397,-0.173
-0.2098,-0.029
-0.079,-0.065
-0.1761,-0.173
-0.1111,-0.118
-0.107,-0.128
0.0641,0.08
0.0323,0.012
-0.1019,-0.141
-0.1841,-0.235
-0.2551,-0.358
-0.3657,-0.429
-0.4368,-0.521
-0.3339,-0.362
-0.3699,-0.385
-0.3514,-0.379
-0.316,-0.337
-0.2932,-0.33
-0.1579,-0.178
0.0829,0.078
0.1918,0.131
0.3789,0.31
0.6251,0.589
0.5534,0.449
0.3821,0.263
0.5317,0.407
1.645,0.149
0.5178,-0.503
1.1304,0.092
1.7289,0.639
1.3575,2.412
1.1909,0.52
0.7083,0.326
0.4654,-0.716
-0.5349,-0.459
-0.5108,-0.474
-0.3518,-0.325
-0.0753,-0.087
-0.3744,-0.439
-0.0053,-0.123
0.2475,0.089
0.5633,0.388
0.8962,0.698
1.2803,1.142
1.7636,1.742
1.4093,1.078
0.4239,0.048
0.281,-0.161
-0.1303,-0.417
-0.0817,-0.68
-0.5454,-0.757
1.019,-0.612
0.0365,0.651
0.4288,-0.253
-0.1135,0.045
0.1721,0.146
0.0394,-0.053
0.0486,-0.001
-0.2378,-0.216
-0.0326,0.048
-0.19,-0.245
-0.3446,-0.22
0.1089,0.136
0.1274,0.045
-0.0685,-0.106
0.0114,0.008
-0.0556,-0.065
-0.2465,-0.372
-0.2491,-0.266
-0.0605,-0.049
0.0328,0.028
-0.156,-0.162
-0.0332,-0.022
-0.0409,-0.038
-0.0737,-0.162
0.0923,-0.035
-0.0218,-0.022
0.0914,0.093
0.932,-0.373
-0.5575,-0.162
-0.14,0.232
0.9139,1.083
0.9264,0.39
0.4772,-0.199
0.5483,-0.162
0.0215,0.066
-0.1394,-0.315
-0.1695,-0.367
-0.2236,-0.309
-0.2954,-0.314
-0.2191,-0.239
-0.4537,-0.562
-0.254,-0.336
-0.5448,-0.56
-0.1726,-0.27
0.4177,0.401
0.4316,0.375
0.5354,0.14
0.4362,0.023
0.5055,0.121
0.0566,0.054
-0.1389,-0.193
-0.1591,-0.18
0.0679,0.075
0.39,0.558
1.3084,0.975
1.9738,1.456
-0.1094,-0.086
0.0966,0.106
0.0785,0.048
0.1109,0.105
0.1244,0.104
-0.0984,-0.113
0.0528,0.067
-0.1263,-0.137
-0.1641,-0.154
-0.0755,-0.067
-0.0287,-0.027
-0.0053,0.016
0.1299,0.11
-0.0307,-0.071
0.0104,0.05
-0.0766,-0.045
-0.2337,-0.218
-0.2191,-0.249
-0.1806,0.097
0.4727,0.37
0.1625,0.045
0.2445,0.168
0.5762,1.194
-0.0266,-0.078
-0.4396,-0.41
-0.7648,-0.818
-0.4863,-0.474
-0.1338,-0.167
0.2189,0.117
0.0328,-0.036
-0.2268,-0.289
-0.0731,-0.143
0.1293,-0.04
0.0842,0.018
0.3313,0.237
-0.5712,-0.548
-0.5084,-0.58
-0.0633,-0.024
-0.1395,-0.085
0.1141,0.066
0.1235,0.12
0.3229,0.207
0.3438,0.238
-0.0167,-0.045
0.1201,0.121
0.0955,0.046
0.0064,-0.017
0.0282,-0.022
-0.5078,-0.513
-0.6206,-0.683
-0.2735,-0.283
-0.191,-0.178
-0.0409,-0.049
0.088,0.031
0.1209,0.071
0.2387,0.231
0.541,-0.335
1.6687,0.733
-0.2106,-0.502
-0.3742,-0.364
-0.1228,-0.033
0.1015,0.104
0.01,-0.055
-0.0507,0.005
0.0811,0.076
0.1711,0.113
-0.0676,-0.085
-0.1457,-0.19
-0.1312,-0.137
-0.0084,-0.002
-0.0652,-0.067
-0.0571,-0.012
0.2458,0.249
-0.0376,-0.077
0.0,0.005
0.0,0.0
0.0486,0.051
-0.1195,-0.129
-0.0409,-0.037
1.294,0.602
-0.2407,-0.239
-0.1744,-0.135
0.0804,0.005
-0.3169,-0.218
-0.0125,0.038
0.0732,0.093
0.0382,0.006
0.1101,0.138
0.3815,0.281
-0.0318,-0.116
-0.3234,-0.299
-0.3907,-0.749
-0.6984,-0.664
-0.3903,-0.322
-0.1415,-0.078
-0.226,-0.21
-0.3239,-0.379
-0.1929,-0.115
0.0895,0.122
0.2667,0.191
0.1272,-0.025
0.1323,0.043
-0.0432,-0.041
0.1457,0.18
0.483,-0.205
-0.398,-0.648
-0.5959,-0.861
-1.1589,-0.894
-1.0044,-0.882
-0.8498,-0.735
-0.7276,-0.712
0.1916,0.095
0.685,0.415
0.6374,0.266
0.3392,0.464
0.74,-0.399
-0.1716,-0.172
-0.2498,-0.204
0.0482,0.075
